AGAPPL,Commodity_Crop_ACRE,Hay_ACRE,Permanent_Pasture_ACRE,Noncommercial_Woodland_ACRE,Commercial_Timber_ACRE,Other_Crops_ACRE,Homesite_ACRE,Road_Waste_Pond_ACRE,CRP_ACRE,Conservation_Practices_ACRE,Other_Use_ACRE,STATED_TOTAL_ACRES,GROSS_INCOME,GROSS_INCOME_2,GROSS_INCOME_3
551,13.99,6,4.43,,,,,,,,,BLANK,,,
552,128.62,,,,,,1,2.965,2.001,,,137.586,,,
553,281,,,,,,0,5.557,8.301,,,302.858,,,
555,11,,,,,,,,,,,11,,,
556,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,
558,6.469,,,1.695,,,,0.657,,,,8.821,,,
559,,,,,9,,,,,,,BLANK,,,
560,74.735,,,5.652,,,1,2.348,,,,83.735,,,
561,39.028,,,,,,1,4.79,,,,44.818,,,
563,158.55,,,21,,,1,43.45,,,,224,,,
564,62.873,,,,,,,3,,,,65.873,,,
565,6,,17.09,,17.718,1.49,1,0,6.66,,,51.958,,,
566,44.7,,,1.91,,,,2.39,0,,,49,,,
567,20.35,0,0,18.56,0,0,0,1.09,0,,0,40,,,
568,36.56,,,3.144,,,,,3.62,,,43.324,,,
569,11.5,,,19.13,,,1,7,19.3,,,BLANK,,,
570,80,,6,11,,,1,2,,,,100,,,
571,34,9.6,,,,,1,,,,,44.6,,,
572,20,,,13.254,,,,,,,,BLANK,,,
573,72.99,,,,,,,,,,,72.99,,,
574,55,50,,7,,,1,11,,,,110,,,
575,135.3,,,,,,,6.066,4.3,,,145.666,,,
576,132.406,,,,,,1,,,,,133.406,,,
577,28.18,,,18.665,,,,3,,,,49.845,,,
578,573.403,,,27.647,,,1,31.69,28.555,2.175,,664.245,,,
579,112.3,,,,,,1,1.89,,2.17,,120,,,
580,9.075,,,,10.938,,,0.374,,,,20.387,,,
581,,,,,,,,,,,,,,,
582,12.75,,,13,,,0,1,,,,BLANK,,,
583,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,
585,19.548,,,,,,,0.453,,,,20.001,,,
586,294.985,,,23,,,2,6.992,,,,330.985,,,
587,223.787,,17,,,3,2,,,,,BLANK,,,
588,16,,,,,,,,,,,16,,,
590,231.847,,,27,,,,2.803,45.18,0.041,,306.871,,,
591,8.697,,,,,,1,0.303,,,,10,4413,,
592,65.63,,,0.793,,,,1.998,,,,68.421,,,
593,8,,,,,,1,3.833,,,,12.833,,,
594,137.18,,,15.28,,,2,5.55,9.99,,,170,,,
595,939.97,,,7.442,,,,26.755,,,,974.167,,,
596,6,,,,1.44,,1,7,0,,,11.44,,,
597,0,0,0,0,0,0,0,16.698,49.302,0,0,66,,,
598,112,,,6,,,1,11,,,,130,,,
599,108.173,,,,,,,5.271,4.61,,,BLANK,,,
600,37.651,,,,,,,1.439,0.91,,,40,,,
601,,69.72,,9.63,,,0,1.37,,,,80.72,,,
605,128.521,,16.24,5.985,,,1,5.564,2.46,0.335,,160.105,,,
606,112,,,19,,,1,7.657,,2.713,,142.37,,,
607,,,,,,,,,,,,,,,
608,148,,,,,,,3.86,,,,151.86,,,
609,14.346,,,,,,,,,,,14.346,,,
610,,62.3,,,13,,1,7.7,0,,,80,,,
611,,,,,,,,,,,,,,,
612,142.659,,,,,,,7.41,9.16,,,159.229,,,
613,35,,,,,,,,,,,35,,,
615,32.84,0,0.75,8.06,0,0,1,0.282,0,1.609,0,44.901,,,
616,43,,,,,,,,,,,BLANK,,,
617,,,,,,,,,,,,,,,
618,36,,,,,,,2.209,,,,38.209,,,
619,80,,,,,,,,,,,BLANK,,,
620,65,0,0,0,0,0,0,1.472,1.2,0,0,67.672,,,
621,,,,,,,,,,,,,,,
622,237.69,,,,,,,,,,,237.69,,,
623,306.7,,,,,,1,14.278,5.15,0.042,,327.17,,,
625,51.72,,,11.5,,,1,7.82,7.96,,,80,,,
626,41.317,,6.1,14,,,,,23.2,,,84.617,,,
627,195,,,22,,,1,13,,,,231,,,
628,118.09,,,3.207,,,0,3.41,,,,124.817,,,
629,164.002,,,,,,,,,,,BLANK,,,
630,,,,,,,,,,,,,,,
631,46,,,,,,1,16,,,,63,,,
632,5.98,,,,,,,0.91,,,,6.89,2529.6,,
633,,,,,,,,,,,,,,,
634,131.121,,,,,,2,1,,,,134.121,,,
635,291,,0,44.28,0,0,0,4,0,0,0,339.28,,,
636,54,,,39.3,,,0,4.3,,,,97.6,,,
637,213.867,,,5.45,,,2,1.47,5.9,,,227.887,,,
638,102.58,22.791,,22.25,,,1,4.28,,,,152.901,,,
639,59.81,,,4,,,1,2.27,2.92,,,70,,,
640,214.98,,,34,,,,7.069,,,,256.049,,,
641,40,,,4.5,,,0,3.864,,,,48.364,,,
642,100.2,,,,,,,3.468,0,,,103.668,,,
643,,,,,,,,,,,,,,,
644,36.911,,,,,,,1.299,,,,38.21,,,
645,58,,15.94,4,,,0,1,,,,BLANK,,,
646,,59.8,,14.07,,,,0.585,0.48,0.679,,75.614,,,
647,,,,,,,,,,,,,,,
648,119.05,,,8.03,,,,6.267,,,,133.347,,,
649,75.73,,,,,,,0.778,,,,76.508,,,
650,69.155,,,33.122,,,1,4.157,,,,107.434,,,
651,190.5,,,7,,,0,21.135,,0,,226.635,,,
652,46,,,4.9883,,,1,0.335,0.98,2.053,,55.571,,,
653,,,,,,,,,,,,,,,
654,125.61,,,,,,,,,,,BLANK,,,
655,60,,,59,,,1,,,,,120,,,
656,91,,,10,,,1,1.19,,,,103.19,,,
657,117.569,,,,,,,,,,,117.569,,,
658,,,,,25.285,,0,1,,,,26.285,,,
659,548.06,,,45.2,,,0,4.032,30.01,4.51,,646.172,,,
660,55.2313,,,,,,1,7.272,,,,63.503,,,
661,113.097,0,0,0,0,0,0,3.402,,,,116.499,,,
662,52.461,,,30.454,,,1,8.585,,,,92.5,,,
663,226.15,,,5.5,,,1,1.687,0.4,9.313,,244.05,,,
664,343.79,,,10.06,,,1,1.6,0.69,,,359.5,,,
665,6.53,,,,,,,0.976,,,,BLANK,4307.18,,
666,74.366,,,2.209,,,1,1.557,,,,79.132,,,
667,71.98,,,13.095,,,,6.631,,,,91.706,,,
668,81.79,,,,,,1,11.301,,,,83.499,,,
669,126.857,,,,,,,,,,,126.857,,,
670,192.692,,,41.56,,,2,9.248,,,,BLANK,,,
671,22,,,,,,,,,,,22,,,
673,100.92,,,,,,,14.72,,,,115.64,,,
674,303.44,,,,,,2,0.754,3.77,,,309.964,,,
675,104.92,,,12,,,1,4.98,,,,122.9,,,
676,13.703,,,,,,,4.674,,,,13.703,,,
677,186,,4,,,,,,,,,BLANK,,,
678,426.638,,,,,,,7,,,,433.638,,,
679,59.34,,,7,,,1,2.057,9.08,1.103,,80,,,
680,264.921,,,8.348,,,1,9.259,,,,283.528,,,
681,49.2,,,30,,,1,2.148,,,,82.368,,,
682,112.167,,,,,,,3.406,0,,,115.573,,,
683,97,,,,,,,,,,,97,,,
684,,,,29.154,,,,,2.1,,,31.254,,,
685,33.917,,,,,,,1.1,,,,35.017,,,
686,243.65,,,,,,1,0.8,0,,,BLANK,,,
687,35.19,,,,,,1,3.352,0.39,,,39.932,,,
688,73.076,,,,,,,0.946,,,,74.022,,,
689,38,,,4.5,,,0,5.5,,,,BLANK,,,
690,,,,,,,,,,,,,,,
691,,312.26,,46.188,,,2,4.638,8.221,9.792,,383.098,,,
692,12.96,,,,,,1,0.37,,,,14.33,,,
693,19.445,,,,,,,,,,,BLANK,,,
694,10.64,,,,,,,1.854,,,,12.494,,,
695,72,7,,,,,1,25,,,,77,,,
696,139.5,0,0,52.98,0,0,1,1,0,0,0,194.48,,,
698,54.586,,,,,,,4,,,,58.586,,,
699,,,,,11.547,,1,,,,,BLANK,,,
700,,,,,,,,,,,,,,,
701,602.88,,,19.04,,,,20.965,25.131,1.284,,668.829,,,
702,,,,,,,,,,,,,,,
703,134.46,,,12.36,,,,7.698,,2.379,,156.897,,,
704,70.255,,,,,,,,,,,BLANK,,,
705,,,,,,,,,,,,,,,
706,11,,,2.542,,,1,1,,,,BLANK,,,
707,120.94,,,20.09,,,1,2.71,,,,144.74,,,
708,7,3,2,,,,0,8,,,,20,,,
709,330.865,,,,119.5,,,334.32,,,,BLANK,,,
710,102.44,,,,,,,,,,,102.44,,,
711,26,,,6.057,,,,1,,,,33.057,,,
712,29,,,7.424,,,1,,,,,37.424,,,
713,179.23,,,16.63,,,,3.72,,,,199.58,,,
714,14.529,,,,,,,,,,,BLANK,,,
715,67.03,,,4,,,,,,,,71.03,,,
716,,,,,,,,,,,,,,,
717,37,,,3,,,,0.507,,,,40.507,,,
718,40.603,,,,,,,0.961,4.9,,,46.46,,,
719,,62,4,3.84,,,1,1.5,,,,BLANK,,,
720,32.06,,,3.74,,,0,0.714,2.51,0.908,,39.932,,,
721,29.706,0,0,11.843,0,0,1,3.946,0,0.241,0,46.736,,,
722,63.48,,,8.59,,,1,6.93,,,,80,,,
723,435.02,,,,,,1,4.51,,,,440.53,,,
724,123.571,0,0,26.641,0,0,1,10.412,,,,161.594,,,
725,145.91,,,13,,,1,8.854,,0.001,,168.765,,,
727,27.5,,,7.278,,,,2.824,,,,37.602,,,
728,,,,,,10,,,,,,BLANK,87500,,
729,70,,,5,,,1,2.05,1.95,,,80,,,
730,8.958,,,8.851,,,,3.187,,,,20.996,,,
731,281.38,,,,,,0,0.972,1.92,,,290.03,,,
732,,,,,,,,,,,,,,,
734,,,,,,,,,,,,,,,
735,84.23,,,4.98,,,,,,,,89.21,,,
737,55.93,,,,,,0,3,,,,58.3,,,
738,77.56,0,0,,0,0,1,11.323,0,0,0,89.883,,,
739,197.31,,,30.454,,,,3.66,0,,,231.424,,,
740,117,,,8.75,,,,0.85,,,,126.6,,,
741,70.325,,,10,,,,,,,,80.325,,,
742,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,
744,130.84,,,,,,,0,5.08,0,,135.92,,,
745,115.25,,,5.62,,,,6.17,,,,127.04,,,
746,202,,,,,,,,,,,BLANK,,,
747,,,,,26,,1,3,,,,BLANK,,,
748,110,0,0,6,0,0,0,8,0,0,0,BLANK,,,
749,44,7,,,7,,1,18,,,,77,,,
750,52.516,,,,,,,,,,,52.516,,,
751,75.69,0,0,0,18.52,0,0,0.13,0,0,0,94.343,,,
752,71.77,4.5,,,,,,,,,,76.27,,,
753,209.23,,,17.4,,,1,0.5,,,,BLANK,,,
755,0,5,,2,,,1,0.337,1.61,1.053,,18,,,
757,90.22,,,,22.55,,,7.23,0,,,120,,,
758,101.53,,,,,,,0.35,,,,101.88,,,
759,118,22,,15,,,2,3,,,,160,,,
760,84.332,,,,,,,,,,,84.332,,,
761,0,0,0,16.26,,,1,9.556,63.072,,,BLANK,,,
762,8,,,3,,,,,,,,11,1543,,
763,54.475,,,,,,,1.069,,,,BLANK,,,
764,122.818,,,,,,,,,,,122.818,,,
765,72.4,,,23.504,,,,3.712,,,,99.616,,,
766,20.71,,,3.96,,,1,1.414,2.41,0,,BLANK,,,
767,5.5,,,18.4,,,,,,,,23.912,,,
769,198.3,,,,,,1,12.415,,,,211.715,,,
770,97.7,0,0,28.11,0,0,1,10.2,0,0,0,137.01,,,
771,138.5,,6.886,7.983,,,1,5.237,,,,159.606,,,
772,46.88,,,5.24,,,,4.064,0.3,,,56.484,,,
773,,,,17.71,,,,0.04,12.56,,,30.31,,,
774,13.46,,38.89,,87.81,,1,3.556,,8.364,,162,,,
775,16,,,31.06,,,,,8,,,BLANK,,,
776,,,,,,,,,,,,,,,
777,0,0,0,14,0,0,1,1.715,0,0,0,16.715,,,
778,217.15,,,18.869,,,,2.203,2.2,,,240.422,,,
780,24.52,,,,,,1,1.71,1.08,,,28.31,,,
781,,,,,13.6,,1,,,,,14.6,,,
782,125.146,,,15.179,,,1,,,,3.887,145.212,,,
783,27.14,,,7,,,,0.5,,,,BLANK,,,
784,,,,,,,,,,,,,,,
785,40,,,,,,,3.516,,,,BLANK,,,
786,151.56,,,,,,,,,,,BLANK,,,
787,30,,,30,,,,2.129,,,,62.129,,,
788,108,,,8.297,,,1,7,,,,124.297,,,
789,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,
791,17,3,,17.1,,,1,1,,,,39.1,,,
792,145.69,,,4.72,,,,6.709,,,,157.119,,,
794,40,,,,,,,,,,,40,,,
795,,,,,,,,,,,,,,,
796,242.998,,,,,,,,,,,242.998,,,
797,170,0,0,38,0,0,1,5.691,0,0,0,214.691,,,
798,93.7,,,,,,,1.597,,,,95.297,,,
800,,,,,,,,,,,,,,,
801,34,,,2.412,,,,,,,,BLANK,,,
802,77.18,77.18,,,,,,231.513,,,,BLANK,,,
803,84,,0.359,,,,1,2.75,9.15,,,97.259,,,
804,12.989,,,,,,1,,,,,13.989,,,
805,,,,12.46,,,1,1.398,27.592,,,44.01,,,
806,,,,,,,,,,,,,,,
807,125,,,,,,,2.71,8.52,0.89,,137.12,,,
808,14.86,,,,,,,,,,,BLANK,,,
809,190.952,,,6.524,,,,6.247,,,,203.723,,,
810,160.5,,,37,,,1,0.19,,,,BLANK,,,
811,76.99,,,9.259,,,1,5.462,,,,92.711,,,
812,172.88,,,,,80,,10.965,,,,263.845,,,
813,56.449,,,,,,,0.864,,,,57.313,,,
814,105.957,,,16.65,,,,2.99,0,,,125.597,,,
816,120.066,,,4.544,,,,,,,,124.61,,,
817,333.82,,,34.907,,,0,18.277,,,,387.004,,,
818,73.211,,,33,,,,4.697,16.411,2.803,,BLANK,,,
819,120,,,20,,,1,13.641,2.5,0.407,,BLANK,,,
820,41,,,4.99,,,,0.577,,,,48.59,,,
821,116.44,,,,,,,3.191,,,,119.631,,,
822,218.62,,,,,,,,,,,218.62,,,
823,138.93,,4,14.428,,,1,6.339,,,,164.697,,,
824,18.81,,,,,,0,1.062,0.66,,,20.532,,,
825,46.33,,,,,,,,,,,46.33,,,
826,84.07,,,13.72,,,,2,,,,99.79,,,
827,134.9,,22.57,,,,,,,,,BLANK,,,
828,28.98,,,,,,,,,,,BLANK,,,
829,483.73,,,,,,,,,,,483.73,,,
830,310,,,,,,1,35.729,,,,341.75,,,
831,,,,21.27,,,,,,,,21.27,,,
832,62.118,,,,,,,,,,,62.118,,,
833,51.25,0,2.5,0,0,0,1,3.82,28.47,0.016,0,92.248,,,
834,68.26,,,5.31,,,,1.828,,,,75.398,,,
835,53.95,,,20,,,,2.145,,,,76.095,,,
836,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,,
838,,,,32.87,,,,5.57,29.26,0,,67.7,,,
839,,,,,30.963,,,,,,,BLANK,,,
840,,,,,,,,,,,,,,,
841,44.77,,,4.23,,,1,,,,,50,,,
842,2.793,,,,,,,,,,,2.793,0,,
843,31.89,,,,,,1,1.875,,,,34.765,,,
844,29.6,,,8.2,,,,2.2,,,,40,,,
845,62,,,7,,,1,2,,,,BLANK,,,
846,134.78,,,,,,0,9.35,,,,144.13,,,
847,,,,,,,,,,,,,,,
848,108.82,,,,,,3,4.022,,1.108,,BLANK,,,
849,,,,13,,,1,3.529,38.469,0,,60,,,
850,102,,,,21.54,,,,,,,123.54,,,
851,,,12.363,,,,1,,,,,BLANK,,,
852,390.159,0,0,10,0,0,0,0,0,0,0,400.159,,,
854,30.74,,,,,,,,,,,30.74,,,
855,19.3,,,8.556,,,,,1.7,,,BLANK,,,
856,,,,,,,,,,,,,,,
857,128.64,,,13.12,,,,5.73,2.06,,,149.557,,,
858,12.5,,,,,,,0.5,,,,13,,,
859,86,,,40,,21.595,1,2,,,,150.595,,,
860,84.3,,,11.107,,,,,,,,95.407,,,
861,115.867,,5,16,,,,0.888,0,0.872,,139.317,,,
862,15.33,,,,,,1,6.731,,,,23.061,,,
863,12.5,,,,,,,,,,,BLANK,,,
864,8,,,,,,1,39.84,,,,48.84,2792,,
865,163.15,,,5.11,,,1,6.662,,,,175.932,,,
866,,,,,33.92,,,,,,,33.92,,,
867,285.623,,,5.377,,,,5.025,,,,296.025,,,
868,6,,10,,,,,1.704,,,,BLANK,,,
869,,,,20,,,1,0.42,9.84,,,40.762,,,
870,194.6,,,10.665,,,,93.15,,,,178.415,,,
871,986.048,,,86.263,,,2,1.681,0,3.883,,1087.675,,,
872,149.07,12.6,,22.93,,,1,4.4,,,,190,,,
873,64.662,,,,,,,0.92,,,,65.582,,,
874,73.138,,,2.03,,,,2.517,0.88,,,78.565,,,
875,,,,,,,,,,,,,,,
876,189,,1.5,23.284,,,1,7.5,,,,222.284,,,
877,,,,,,,,,,,,,,,
878,131.22,,,26.55,,,,2.23,,,,160,,,
881,40,9,10,15,,,1,5,,,,80,,,
882,182,,,18,,,1,13.919,,,,214.874,,,
883,12.963,,,,,,,2.046,0,,,BLANK,,,
884,71.69,,,57.808,,,1,1.855,,,,132.353,,,
885,301.48,,,56,,,,12.984,0.64,2.033,,373.14,,,
886,119,,,27,,,1,12.85,18.32,0.632,,182.802,,,
887,78.5,80,0,0,0,0,1,240.5,0,0,0,80,,,
888,74.188,,,0.912,,,1,3.9,,,,80,,,
889,76,,,,,,1,1.22,,,,BLANK,,,
890,22.59,,,,,,,,,,,BLANK,,,
891,48.974,,,14.106,,,1,2.58,,,,66.66,,,
892,,,,,,,,,,,,,,,
893,18,,5.06,,,,,,,,,BLANK,,,
894,,68,3,22,,,1,4.4,,,,BLANK,,,
895,11.788,,,,,,,,,,,BLANK,,,
896,83.287,,,,,,,,,,,BLANK,,,
897,48,,,28.18,,,1,1.821,,,,79.001,,,
898,111.57,,,,,,,,0.79,,,112.75,,,
899,30.41,,,5,20.75,,,,9.85,,,66.015,,,
900,59.028,,,14.034,,,,1.636,0,2.402,,77.1,,,
901,43,,,,,,,1.737,7.24,0.663,,52.64,,,
902,26.77,,,,,,,1.82,,,,BLANK,,,
903,28,,2,,,1.104,,,,,,31.104,,,
904,47.513,,,,,,1,2,0,,,BLANK,,,
905,88.01,,,,,,,,,,,BLANK,,,
906,39.4,0,0,0,0,0,0,0.6,0,0,0,40,,,
907,12.781,,,,,,,,,,,12.781,,,
908,28,,,,,,1,,,,,29,,,
909,75.641,,,,,,0,1.492,,,,77.133,,,
910,62.5,,,15,,,1,1.5,,,,80,,,
911,25,,,,,,,,,,,BLANK,,,
912,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,
915,6,8,4.5,,,,0,2,,,,20.5,,,
916,59.3,,,,10.9,,,4.3,,0,,74.5,,,
917,50,,,,,,,,,,,50,,,
918,62.287,,,6.77,,,,,,,,69.057,,,
919,,90.58,,,22.55,,1,10.22,0,,,120.062,,,
920,13.396738,,,5.593586,,,,0.91567,,,,19.906,,,
922,,,,,,,1,19.153,,0,,BLANK,,,
923,237.5,,,4.1,,,,10.017,3.49,0.422,,255.239,,,
924,75.8,,,,,,,1.45,7.86,,,85.11,,,
925,64,,,,,,1,5.776,,,,70.776,,,
926,93.045,,,,,,,,,,,BLANK,,,
927,8.2,,,,,4.092,,,,,,BLANK,4100,,
928,50.591,,,,,,,,,,,BLANK,,,
929,64.94,,,,,,,,,,,64.94,,,
930,39,,,,,,,1,,,,40,,,
931,44.851,,,,,,,,,,,BLANK,,,
932,20.001,,,,,,,,,,,BLANK,,,
934,47.96,,,,,,1,1.77,,,,50.73,,,
935,74.354,,,,,,,3.701,,,,78.055,,,
936,33.14,,,,,,,0.86,,,,34,,,
937,170.753,,,,,,1,6.927,,,,178.68,,,
938,,87.54,,,22.91,,,2.1,5.11,,,117.66,,,
939,,,,,,,,,,,,,,,
940,461.8,,,21.34,,,1,24.971,2.2,2.953,,516.403,,,
941,242.45,,,2,,1,,3.53,,0,,248.98,,,
942,13.7,,,40.806,,,1,,,,,55.506,,,
943,223.37,,,51.998,,,0,2.167,0,,,286.537,,,
944,56.769,,,6.6,,,,,,,,63.369,,,
946,,,,,,,,,,,,,,,
947,121.329,,,,,,1,4.531,,,,BLANK,,,
948,35.7,,,3.3,,,,1.002,,,,40.002,,,
949,13.6,,,,,,0,1.2,,,,BLANK,,,
950,77.2,,,,,,,,,,,77.2,,,
952,135.47,,,56.507,,,1,9.797,,,,202.774,,,
953,103,,,26.118,,,0,0.5,,,,129.618,,,
954,4.12,,,,,,,0.64,1.87,,,6.63,319,1566.26,800
955,140,,,14.039,,,1,2.6,,,,157.639,,,
956,156.636,,,,,,,,,,,156.636,,,
957,100.265,,,12,,,,,,,,BLANK,,,
958,132.6,,,44.737,,,,1.825,,,,179.162,,,
959,210.326,,,,,,1,,,,,211.326,,,
960,60,,,8,,,1,11,,,,80,,,
961,10,,,,,0.5,,,,,,10.5,,,
962,,,,,,,,,,,,,,,
963,,,,,,,,,,,,,,,
964,,,,,,,,,,,,BLANK,,,
965,171.86,,,18.7,,,,3.469,0.71,,,194.739,,,
966,,,,,,,,,,,,,,,
967,,,10,,,,1,1,,,,BLANK,,,
969,147.8,,,7.4,,,,,,,,155.2,,,
970,,,,14.09,,,1,3,16.53,0,,BLANK,,,
971,98.25,9.8,,,,,1,7.58,5.02,,,121.65,,,
972,62,0,0,10,0,0,1,1.49,5.51,0,0,80,,,
973,15.24,,,,,,,1.413,,,,16.653,,,
974,,13.05,24.95,15.78,,,1,5.82,12.9,,,73.5,,,
975,20,,,,,,,4.99,,,,24.99,,,
976,23.9,,,10.349,,,1,2,,,,37.249,,,
977,167.72,,,41,,,,15.179,,,,223.899,,,
978,78,,,,,,,2,,,,80,,,
979,104,,,11,,,,1.85,,,,116.85,,,
980,60.29,,,,,,1,1.575,,,,62.865,,,
981,94.539,,,,,,,,,,,94.539,,,
982,244.06,,,23.61,,,1,13.336,0.982,0.724,,283.609,,,
983,,,,,,,,,,,,,,,
984,85,,1.3,2,,,,0.1,1.9,,,90.3,,,
985,88.4,,,4.2,,,,,,,3.215,95.815,,,
986,54.88,,,19.77,,,,0.7,2.13,1.26,,80,,,
987,36.031,,,,,,,,,,,BLANK,,,
988,57.24,,,,,,,7.19,4.23,,,68.66,,,
989,206.512,,,12.766,,,0,6.672,,,,225.95,,,
990,12.9,,,14.1,,,,,,,,27,,,
991,,,,,,,,,,,,,,,
992,112.13,,,34.61,,,,,,,,146.74,,,
993,65.975,,,10.781,,,,3.244,,,,80,,,
994,96.252,,,24.509,,,1,4.499,,,,126.26,,,
995,161.98,,,,,,,,,,,BLANK,,,
996,41.3,,,,,,,1.797,2.55,,,BLANK,,,
997,,,,,,,,,,,,,,,
999,171,,,,,,0,2.181,,,,173.181,,,
1000,70.529,,,15.801,,,0,4.686,,,,91.016,,,
1001,31.387,0,0,0,0,0,0,0,0,0,0,31.387,,,
1002,,,3.286,,,,,,,,,3.286,27591,,
1003,8.28,,,,,,,,,,,8.28,3487.95,,
1004,172.053,,5,6.696,,,2,5.081,1.8,0,,192.63,,,
1005,59.5,,,3.985,,,,,,,,63.485,,,
1006,4.047,,,5.03,,,,1.2,,,,10.277,,,
1007,146.96,,,6.041,,,,5.734,,1.638,,160.373,,,
1008,77.757,,,,,,,2,,,,79.757,,,
1009,76.41,0,0,0,0,0,0,2.37,0,0,0,78.78,,,
1010,,,,,,,,,,,,,,,
1011,184.35,,,38.371,,,2,13.213,,,,BLANK,,,
1012,32.48,,,4.2,,,1,2.32,,,,40,,,
1013,51.54,,,,,,,2.213,0,,,53.753,,,
1015,,,,,35.22,,1,5.2,26.5,,,67.92,,,
1016,7,,,2.75,,1,1,2,,,,13.75,,,
1017,126.8,,3,20,,,1,12.2,1.8,0.05,,152.85,,,
1018,99.5,,,,,,0,5.466,,,,104.966,,,
1019,105.5,,,,,,0,5.075,,,,110.575,,,
1020,,,,12.741,,,,,,,,12.741,,,
1021,61.2,,,2.084,,,1,4.8,,,,69.084,,,
1023,810.532,,,26.13,,,3,20.714,,,,860.376,,,
1024,15.224,,,,,,,,,,,15.224,,,
1025,,,,,,,,,,,,,,,
1026,,,,23.565,,,,0.03,53.47,,,77.065,,,
1027,26.98,,,,,,,,,,,26.98,,,
1028,156.3,,,5.69,,,1,6.59,,,,169.58,,,
1030,,,,,,,,,,,,,,,
1031,26.07,,,,,,1,1.158,,0.342,,28.57,,,
1032,129,20,15,28.774,,,,,,,,192.774,,,
1033,,,,,,,,,,,,,,,
1034,132.32,,,19.424,,,1,4.47,,,,BLANK,,,
1035,215.972,,,37.97,,,1,11.586,9.15,,,BLANK,,,
1036,0,0,0,0,34.9,0,0,0.5,5.1,0,0,40.5,,,
1037,36,0,0,3,0,0,1,0,0,0,0,40,,,
1038,76.4,,,,,,1,2.576,,,,79.976,,,
1039,135.42,,,33,,,,,3.6,,0.954,172.974,,,
1040,18.814,,,,,,,,,,,BLANK,,,
1041,113.74,,,47.71,,,,10.401,3.29,,,175.141,,,
1042,,,,,13,,,,,,,BLANK,,,
1043,324.3,,,37.787,,,,3.111,,1.819,,367.017,,,
1044,78.3,,,15.29,,,,,,,,93.59,,,
1045,12.68,,,,,,0,3.504,,,,16.184,,,
1046,82.89,,,7.42,,,,5.89,0,,,96.2,,,
1047,136.5,,,30,,,1,4.5,,,,BLANK,,,
1048,73.54,,,,,,,6.46,,,,80,,,
1049,12.39,,,,,,,3.083,,,,15.473,,,
1050,,,,,,,,,,,,,,,
1051,,66,,,,,,1.107,,,,67.107,,,
1052,131.141,,,,,,,,,,,131.141,,,
1053,,34.86,,12.61,,,1,6.82,0,,,51.29,,,
1054,85.33,,,8.16,,,1,1.609,0.62,0.691,,98,,,
1055,65.2,,,10.2,,,1,2.573,,,,78.973,,,
1056,178.66,,,13.708,,,1,4.95,,,,BLANK,,,
1057,91.912,,,22.283,,,,1.285,,,,115.48,,,
1058,68,,,12,,,,,,,,80,,,
1059,80,,,,,,,,,,,80,,,
1060,32.11,,,7.89,,,,,,,,40,,,
1061,111.1,,,,,,,5.4,,,,116.5,,,
1063,,,,,,,,,,,,,,,
1064,138.882,,,13.8,,,,3.018,,,,155.7,,,
1065,109.195,,,,,,,22,,,,131.195,,,
1066,21.851,,,,,,,,,,,BLANK,,,
1067,176,,,46.13,,,2,2.991,,0.009,,227.13,,,
1068,75,,,,,,,4.519,,,,79.519,43566.75,,
1069,111.299,,,1.2,,,,10.53,0,,,123.029,,,
1070,128.466,,,,,,,,,,,128.466,,,
1071,230.55,5.34,,,,,1,8.709,9.06,0.71,,264.369,,,
1072,89.44,0,11.21,62.164,0,0,0,2,0,0,0,164.814,,,
1074,157,,,35,,,1,1.759,,,,206,,,
1075,,,,,,,,,,,,,,,
1076,52,,,5.12,,,,,,,,57.12,,,
1077,,,,,,,,,,,,,,,
1078,58.5,,,,,,,1,,,,59.5,,,
1079,30.9,,,15,,,1,5.627,,,,52.527,,,
1080,,,,,,,,,,,,,,,
1081,72,,6,,,,1,1,,,,80,,,
1082,103.39,,,,,,,4.352,3.69,1.334,,112.766,,,
1083,,,,,23.425,,,,,,,23.425,,,
1084,52.186,,,,,,1,1.733,,,,54.919,,,
1085,18.5,0,0,8.075,0,0,0,1.734,0,0,0,28.309,,,
1086,,,,,,,,,,,,,,,
1087,387,13,,77.01,,,3,,,,,BLANK,,,
1088,,,,,,,,,,,,,,,
1089,191.988,,,,,,,,,,,BLANK,,,
1090,84.73,,,9.404,,,1,7.967,,,,103.101,,,
1091,112.946,0,0,39.714,0,0,1,4.259,,,,158.419,,,
1092,164.42,,,27.6,,,1,3.9,1.4,,,198.32,,,
1093,1047,,,110.334968,,,1,72.994,,,1.672385,1221.554,,,
1094,22.917,,,,,,,,,,,22.917,,,
1095,240,,,,,,,,,,,BLANK,,,
1096,83.947,,,8,,,1,9,,,,101.947,,,
1097,167.296,39.69,,,,,1,1.625,0,3.335,,BLANK,,,
1099,118.227,,,,,,,,,,,118.227,,,
1100,11.935,,,,,,,,,,,11.935,,,
1101,,22.646,,,,,,0.25,,,,22.896,,,
1102,14.786,,,,,,,,,,,14.786,,,
